fault_id|spn|fmi|oem_make|oem_code|controller|short_description|fault_family|detailed_technical_explanation|source_id|source_url|source_page|source_doc
1|154|13|Bendix|12-23|ABS/ESC|ABS controller auxiliary I/O circuit (I/O 2 or I/O 3) shorted high|hdb_auxiliary_output_solenoid_circuit|SPN 154 (ABS controller auxiliary I/O circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)
66|789|1|Bendix|2-1|ABS/ESC|Wheel speed sensor, steer axle left, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 789 (Wheel speed sensor, steer axle left) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)
131|794|1|Bendix|15-1|ABS/ESC|Wheel speed sensor, additional axle right, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 794 (Wheel speed sensor, additional axle right) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)
196|810|7|Bendix|12-11|ABS/ESC|Wheel speed sensor wiring swapped left/right on an axle|hdb_wheel_speed_signal_erratic|SPN 810 (Wheel speed sensors reversed on axle (configuration)) with FMI 7 (Mechanical part not reacting or misadjusted) is set by the ABS/ESC when a wheel-speed signal is plausible in amplitude but behaves erratically -- chattering, jumping, arriving at the wrong update rate, or disagreeing with the other wheels on the axle, including a sensor pair wired in reverse or an output too low at drive-off. Typical causes are a damaged or debris-packed tone ring, a loose sensor, mismatched tire sizes on an axle, or a mis-wired sensor after a service.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)
261|2622|2|Bendix|12-24|ABS/ESC|Hill start assist lamp circuit open or shorted to ground|hdb_hill_start_assist_circuit|SPN 2622 (Hill start assist (HSA) valve/lamp circuit) with FMI 2 (Signal unstable, intermittent or implausible) is set by the ABS/ESC when the hill-start-assist (HSA) lamp or holding-valve solenoid circuit reads open or shorted. HSA briefly holds air pressure at the service brakes on a grade; a failed lamp driver or solenoid coil, or a broken wire, prevents it from working correctly.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)
326|2970|2|Caterpillar|2970-2|Engine ECU|Parameter 2970 (validation switch) signal erratic, intermittent or implausible|hde_throttle_pedal|SPN 2970 (Parameter 2970 (role not stated by the OEM tables)) with FMI 2 (Signal unstable, intermittent or implausible) is set by the Engine ECU when the accelerator pedal position sensor signal is missing, out of range or implausible relative to the engine's other timing references. Typical causes are a failed sensor, an incorrect air gap, connector corrosion, chafed wiring, or damage to the toothed wheel the sensor reads.|cat_c10882888|https://s7d2.scene7.com/is/content/Caterpillar/C10882888|120|1200 Series marine auxiliary engines troubleshooting guide
391|157|4|Cummins|452|Engine ECU|Fuel rail pressure sensor circuit reads low (shorted to ground)|hde_fuel_rail_pressure|SPN 157 (Fuel rail pressure) with FMI 4 (Circuit voltage low / short to ground) is set by the Engine ECU when the fuel rail (common rail) pressure sensor signal leaves its plausible window or the sensor circuit reads open, shorted or erratic. Typical causes are a failed sensor, corroded connector pins, chafed harness wiring, or a genuine underlying system condition the sensor is correctly reporting.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|100|A042J565 fire pump drive engine IOM, fault code charts
456|651|5|Cummins|322|Engine ECU|Injector solenoid, cylinder 1, circuit open (no current)|hde_injector_cylinder_circuit|SPN 651 (Injector cylinder 1) with FMI 5 (Current too low; open circuit) is set by the Engine ECU when the fuel injector driver circuit reads an abnormal current, resistance or calibration value. Typical causes are a failed injector coil/solenoid, a chafed or corroded driver circuit, or an injector trim code that was not carried over after replacement.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|98|A042J565 fire pump drive engine IOM, fault code charts
521|1146|0|Cummins|652|Engine ECU|Cylinder 4 exhaust temperature, right bank, far above normal|hde_cylinder_misfire|SPN 1146 (Cylinder 4 exhaust temperature, right bank) with FMI 0 (Reading in-range but far too high) is set by the Engine ECU when the cylinder misfire/power-balance monitor fails to reach or hold the commanded position/pressure. Typical causes are a sticking or contaminated valve, a failed valve body, or an upstream system-pressure problem.|cummins_a042j565|https://mart.cummins.com/imagelibrary/data/assetfiles/0056191.pdf|102|A042J565 fire pump drive engine IOM, fault code charts
586|105|0|Deutz|1355 0|Aftertreatment DCU|Intake manifold air temperature reads in-range but abnormally high|hda_docdpf_relayed_pressure_temp_sensor|SPN 105 (Intake manifold air temperature) with FMI 0 (Reading in-range but far too high) is set by the Aftertreatment DCU for an engine pressure or temperature parameter (fuel delivery pressure, oil pressure, boost pressure, intake manifold temperature, air filter differential pressure, barometric pressure, coolant temperature, ambient air temperature, or turbocharger compressor inlet pressure) that the aftertreatment DCU consumes for its own dosing and regeneration strategy and relays into this fault list. Diagnose it as an ordinary pressure/temperature sensor circuit: connector, wiring, then sensor.|deutz_docdpf|https://serdia.deutz.com/fileadmin/contents/serdia/DTCList_MD1_DOC_DPF_DE_EN.pdf||DTC list MD1 DOC/DPF (2019)
