fault_id|spn|fmi|oem_make|oem_code|controller|short_description|fault_family|detailed_technical_explanation|source_id|source_url|source_page|source_doc|fix_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
1|154|13|Bendix|12-23|ABS/ESC|ABS controller auxiliary I/O circuit (I/O 2 or I/O 3) shorted high|hdb_auxiliary_output_solenoid_circuit|SPN 154 (ABS controller auxiliary I/O circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|1|Verify the auxiliary output's parameter assignment with a diagnostic tool|1|Dealer / specialist|0.0|150.0|0.8|1. Connect a dealer-level diagnostic tool and read the auxiliary output configuration • 2. Confirm it matches the solenoid actually wired on the truck • 3. Correct the parameter and clear codes
1|154|13|Bendix|12-23|ABS/ESC|ABS controller auxiliary I/O circuit (I/O 2 or I/O 3) shorted high|hdb_auxiliary_output_solenoid_circuit|SPN 154 (ABS controller auxiliary I/O circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|2|Replace the assigned solenoid valve|2|Fleet technician|60.0|300.0|1.3|1. Tag and disconnect the air line and electrical connector • 2. Remove and replace the diff lock, transfer case, trailer or 3/2 valve solenoid • 3. Leak-check, clear codes and function-test
1|154|13|Bendix|12-23|ABS/ESC|ABS controller auxiliary I/O circuit (I/O 2 or I/O 3) shorted high|hdb_auxiliary_output_solenoid_circuit|SPN 154 (ABS controller auxiliary I/O circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|3|Identify the assigned solenoid and inspect its connector|3|Fleet technician|0.0|15.0|0.5|1. Use the diagnostic tool to read which function (diff lock, transfer case, trailer, 3/2 valve) the output is configured for • 2. Locate and inspect that solenoid's connector for corrosion • 3. Clean, reconnect and clear codes
1|154|13|Bendix|12-23|ABS/ESC|ABS controller auxiliary I/O circuit (I/O 2 or I/O 3) shorted high|hdb_auxiliary_output_solenoid_circuit|SPN 154 (ABS controller auxiliary I/O circuit) with FMI 13 (Calibration data outside limits) is set by the ABS/ESC on a configurable auxiliary output driver -- wired at the factory to a differential lock, transfer case, trailer, or a general-purpose 3/2 valve solenoid -- when that output circuit reads shorted to voltage or ground, open, or does not match its parameter-set configuration. Diagnosis follows the wiring for whichever solenoid the output is assigned to on this vehicle.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|4|Test the auxiliary output driver circuit for a short or open|4|Fleet technician|5.0|70.0|1.2|1. Back-probe the output pin at the ECU and measure resistance to the solenoid coil • 2. Check for a short to ground or voltage along the harness • 3. Repair the wiring and re-test
66|789|1|Bendix|2-1|ABS/ESC|Wheel speed sensor, steer axle left, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 789 (Wheel speed sensor, steer axle left) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|261|Re-seat and gauge the sensor air gap|1|Fleet technician|0.0|10.0|0.5|1. Loosen the sensor and push it fully against the tone ring • 2. Back it off per spec and lock it, checking with a 0.4 mm (0.016 in) feeler gauge • 3. Clear codes and road-test
66|789|1|Bendix|2-1|ABS/ESC|Wheel speed sensor, steer axle left, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 789 (Wheel speed sensor, steer axle left) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|262|Inspect and adjust wheel-bearing end play|2|Fleet technician|0.0|150.0|1.2|1. Jack the wheel and check for play with a dial indicator • 2. Re-torque or re-adjust the bearing per the axle spec, replacing bearings if worn • 3. Re-check the sensor air gap after adjustment
66|789|1|Bendix|2-1|ABS/ESC|Wheel speed sensor, steer axle left, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 789 (Wheel speed sensor, steer axle left) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|263|Replace a chipped or bent tone (exciter) ring|3|Fleet technician|60.0|220.0|1.5|1. Remove the hub/axle assembly needed to access the tone ring • 2. Press off the damaged ring and press on the replacement • 3. Reassemble, set the sensor air gap and road-test
66|789|1|Bendix|2-1|ABS/ESC|Wheel speed sensor, steer axle left, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 789 (Wheel speed sensor, steer axle left) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|264|Replace the wheel-speed sensor and mounting clip/bushing|4|Fleet technician|45.0|130.0|0.7|1. Remove the worn sensor and its mounting bushing or clip • 2. Install the new sensor and bushing, seating it fully • 3. Set the air gap, clear codes and road-test
131|794|1|Bendix|15-1|ABS/ESC|Wheel speed sensor, additional axle right, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 794 (Wheel speed sensor, additional axle right) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|566|Re-seat and gauge the sensor air gap|1|Fleet technician|0.0|10.0|0.5|1. Loosen the sensor and push it fully against the tone ring • 2. Back it off per spec and lock it, checking with a 0.4 mm (0.016 in) feeler gauge • 3. Clear codes and road-test
131|794|1|Bendix|15-1|ABS/ESC|Wheel speed sensor, additional axle right, sensor air gap too large|hdb_wheel_speed_sensor_air_gap|SPN 794 (Wheel speed sensor, additional axle right) with FMI 1 (Reading in-range but far too low) is set by the ABS/ESC when the wheel-speed sensor's air gap to the tone ring is outside its working range, or wheel-end bearing play has grown enough to affect the reading. WABCO and Bendix both specify a nominal 0.4 mm (0.016 in) sensor-to-tone-wheel gap; a gap that is too wide, a damaged tone ring, or excess wheel-bearing play all produce this fault.|bendix_sd134983|https://www.bendixvrc.com/itemDisplay.asp?documentID=6722||SD-13-4983 EC-80 ABS/ATC service data sheet (2014)|567|Inspect and adjust wheel-bearing end play|2|Fleet technician|0.0|150.0|1.2|1. Jack the wheel and check for play with a dial indicator • 2. Re-torque or re-adjust the bearing per the axle spec, replacing bearings if worn • 3. Re-check the sensor air gap after adjustment
