part_id|fix_id|part_name|amazon_search_query
1|2|Heavy-duty pneumatic solenoid valve (12V/24V)|https://www.amazon.com/s?k=heavy+duty+pneumatic+solenoid+valve+24v+truck
81|263|ABS tone (exciter) ring|https://www.amazon.com/s?k=truck+abs+tone+ring+exciter+ring
82|264|Heavy-duty wheel speed sensor with mounting clip|https://www.amazon.com/s?k=heavy+duty+truck+wheel+speed+sensor+clip
211|568|ABS tone (exciter) ring|https://www.amazon.com/s?k=truck+abs+tone+ring+exciter+ring
212|569|Heavy-duty wheel speed sensor with mounting clip|https://www.amazon.com/s?k=heavy+duty+truck+wheel+speed+sensor+clip
288|823|ABS tone (exciter) ring|https://www.amazon.com/s?k=truck+abs+tone+ring+exciter+ring
289|822|Matched heavy-duty truck tire|
354|1079|Hill start assist (HSA) holding valve|https://www.amazon.com/s?k=truck+hill+start+assist+valve
419|1332|Accelerator Pedal Position Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Accelerator+Pedal+Position+Sensor+heavy-duty+diesel
485|1584|Fuel Rail (common Rail) Pressure Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Fuel+Rail+common+Rail+Pressure+Sensor+heavy-duty+diesel
556|1840|Fuel Injector (heavy-duty diesel, remanufactured or new)|https://www.amazon.com/s?k=Fuel+Injector+heavy-duty+diesel,+remanufactured+or+new
622|2064|Cylinder Misfire/power-balance Monitor (heavy-duty diesel)|https://www.amazon.com/s?k=Cylinder+Misfire/power-balance+Monitor+heavy-duty+diesel
688|2296|Engine pressure/temperature sensor (DCU-relayed)|
760|2537|Deutsch connector pin/terminal repair kit|https://www.amazon.com/s?k=deutsch+connector+terminal+repair+kit
761|2536|Heavy-duty diesel NOx sensor (SCR upstream/downstream, aftermarket)|https://www.amazon.com/s?k=heavy+duty+diesel+nox+sensor+scr
839|2788|EGR valve actuator|https://www.amazon.com/s?k=egr+valve+heavy+duty+diesel
904|3046|Throttle Position Sensor (heavy-duty diesel)|https://www.amazon.com/s?k=Throttle+Position+Sensor+heavy-duty+diesel
